Origin,Destination
ATL,1435
DEN,1140
ORD,1070
DFW,860
IAH,680
LAX,580
BWI,525
LAS,520
MSP,515
CLT,480
IAD,480
BOS,475
PHX,450
SLC,440
MCO,430
EWR,425
DTW,420
MEM,415
FLL,385
JFK,380
CLE,375
AUS,370
BNA,370
SFO,360
MIA,300
MKE,295
DCA,295
MDW,295
SEA,285
MCI,245
CVG,240
ABQ,235
PHL,235
LGA,225
BDL,225
IND,215
HOU,210
SAN,195
PDX,190
BUF,185
CMH,180
BHM,175
PIT,155
STL,145
BOI,135
ALB,135
ELP,120
DAL,120
SAT,115
OAK,115
OMA,115
BUR,115
SMF,110
JAX,110
OGG,105
SJC,105
TPA,105
HNL,105
OKC,100
RNO,100
LIT,95
MSY,95
GRR,90
RDU,90
SJU,85
LGB,80
DSM,80
CHS,80
COS,75
ONT,75
ANC,75
GEG,75
SNA,75
SDF,70
RSW,70
KOA,70
GSO,70
FAT,70
CAK,65
ORF,65
EGE,65
TUL,65
LEX,65
MHT,60
HSV,60
ROC,60
MSN,60
PSP,55
GJT,55
GSP,55
HPN,50
DAY,50
ISP,50
AMA,50
STT,50
TUS,50
TYS,50
JAN,50
ICT,45
SYR,45
BTV,45
ABE,45
CRW,45
SAV,45
PBI,40
BZN,40
XNA,40
PVD,40
RIC,40
FAI,40
JNU,40
BIS,40
ASE,40
AVL,40
GRB,40
BFL,40
CAE,30
ECP,30
FAR,30
FNT,30
BMI,30
CHA,30
MTJ,30
SGF,30
JAC,25
FSD,25
BIL,25
FWA,25
MLI,25
DRO,25
LIH,25
SBP,20
RDM,20
VPS,20
MFE,20
PNS,20
SHV,20
PSC,20
SBA,20
RKS,20
MRY,20
MSO,20
MYR,20
IPL,20
ATW,20
AEX,20
BRO,20
GCC,20
HDN,20
HLN,20
HRL,20
EVV,20
ITO,20
KTN,20
DAB,20
BQN,20
GPT,20
CEC,20
LBB,20
LCH,20
LNK,20
FAY,20
CID,20
LSE,20
LAN,15
AVP,15
RAP,15
BPT,10
SIT,10
MDT,10
SGU,10
BRW,10
BTM,10
BTR,10
CDV,10
SCC,10
SBN,10
CIC,10
BKG,10
STX,10
AZO,10
SRQ,10
ABY,10
WRG,10
ACT,10
ACV,10
TXK,10
TVC,10
ACY,10
ADK,10
TRI,10
ADQ,10
TOL,10
TLH,10
SUN,10
CLL,10
AGS,10
CLD,10
CWA,10
CMI,10
IDA,10
FLG,10
GGG,10
OME,10
GNV,10
GRK,10
GTF,10
GUM,10
MQT,10
RST,10
MOD,10
MOB,10
MLU,10
MLB,10
MKG,10
MHK,10
MFR,10
OTZ,10
PAH,10
FCA,10
EYW,10
ROW,10
CMX,10
ROA,10
COD,10
CPR,10
CRP,10
MBS,10
DLH,10
EAU,10
PSG,10
PSE,10
EKO,10
ELM,10
EUG,10
PIA,10
YAK,10
