name,code,year_month,total_flights
American Airlines Inc.,AA,2003/6,752
American Airlines Inc.,AA,2003/6,1266
American Airlines Inc.,AA,2003/6,593
American Airlines Inc.,AA,2003/6,203
American Airlines Inc.,AA,2003/6,947
American Airlines Inc.,AA,2003/6,750
American Airlines Inc.,AA,2003/6,12276
American Airlines Inc.,AA,2003/6,576
American Airlines Inc.,AA,2003/6,835
American Airlines Inc.,AA,2003/6,658
American Airlines Inc.,AA,2003/6,445
American Airlines Inc.,AA,2003/6,397
American Airlines Inc.,AA,2003/6,1147
American Airlines Inc.,AA,2003/6,765
American Airlines Inc.,AA,2003/6,2462
American Airlines Inc.,AA,2003/6,1896
American Airlines Inc.,AA,2003/6,1000
American Airlines Inc.,AA,2003/6,214
American Airlines Inc.,AA,2003/6,3120
American Airlines Inc.,AA,2003/6,674
American Airlines Inc.,AA,2003/6,7628
American Airlines Inc.,AA,2003/6,247
American Airlines Inc.,AA,2003/6,759
American Airlines Inc.,AA,2003/6,474
American Airlines Inc.,AA,2003/6,617
American Airlines Inc.,AA,2003/6,606
American Airlines Inc.,AA,2003/6,1028
American Airlines Inc.,AA,2003/6,265
American Airlines Inc.,AA,2003/6,540
Alaska Airlines Inc.,AS,2003/6,60
Alaska Airlines Inc.,AS,2003/6,30
Alaska Airlines Inc.,AS,2003/6,166
Alaska Airlines Inc.,AS,2003/6,54
Alaska Airlines Inc.,AS,2003/6,60
Alaska Airlines Inc.,AS,2003/6,363
Alaska Airlines Inc.,AS,2003/6,704
Alaska Airlines Inc.,AS,2003/6,30
Alaska Airlines Inc.,AS,2003/6,30
Alaska Airlines Inc.,AS,2003/6,30
Alaska Airlines Inc.,AS,2003/6,1287
Alaska Airlines Inc.,AS,2003/6,247
Alaska Airlines Inc.,AS,2003/6,373
Alaska Airlines Inc.,AS,2003/6,4267
Alaska Airlines Inc.,AS,2003/6,383
JetBlue Airways,B6,2003/6,90
JetBlue Airways,B6,2003/6,30
JetBlue Airways,B6,2003/6,401
JetBlue Airways,B6,2003/6,210
JetBlue Airways,B6,2003/6,2040
JetBlue Airways,B6,2003/6,180
JetBlue Airways,B6,2003/6,190
JetBlue Airways,B6,2003/6,5
JetBlue Airways,B6,2003/6,30
JetBlue Airways,B6,2003/6,60
JetBlue Airways,B6,2003/6,150
Continental Air Lines Inc.,CO,2003/6,376
Continental Air Lines Inc.,CO,2003/6,559
Continental Air Lines Inc.,CO,2003/6,271
Continental Air Lines Inc.,CO,2003/6,46
Continental Air Lines Inc.,CO,2003/6,337
Continental Air Lines Inc.,CO,2003/6,378
Continental Air Lines Inc.,CO,2003/6,327
Continental Air Lines Inc.,CO,2003/6,255
Continental Air Lines Inc.,CO,2003/6,4602
Continental Air Lines Inc.,CO,2003/6,361
Continental Air Lines Inc.,CO,2003/6,56
Continental Air Lines Inc.,CO,2003/6,7312
Continental Air Lines Inc.,CO,2003/6,30
Continental Air Lines Inc.,CO,2003/6,492
Continental Air Lines Inc.,CO,2003/6,560
Continental Air Lines Inc.,CO,2003/6,293
Continental Air Lines Inc.,CO,2003/6,484
Continental Air Lines Inc.,CO,2003/6,73
Continental Air Lines Inc.,CO,2003/6,298
Continental Air Lines Inc.,CO,2003/6,260
Continental Air Lines Inc.,CO,2003/6,441
Continental Air Lines Inc.,CO,2003/6,106
Continental Air Lines Inc.,CO,2003/6,183
Continental Air Lines Inc.,CO,2003/6,332
Continental Air Lines Inc.,CO,2003/6,256
Continental Air Lines Inc.,CO,2003/6,334
Continental Air Lines Inc.,CO,2003/6,376
Continental Air Lines Inc.,CO,2003/6,99
Continental Air Lines Inc.,CO,2003/6,362
Atlantic Coast Airlines,DH,2003/6,874
Atlantic Coast Airlines,DH,2003/6,227
Atlantic Coast Airlines,DH,2003/6,30
Atlantic Coast Airlines,DH,2003/6,150
Atlantic Coast Airlines,DH,2003/6,246
Atlantic Coast Airlines,DH,2003/6,4411
Atlantic Coast Airlines,DH,2003/6,442
Atlantic Coast Airlines,DH,2003/6,173
Atlantic Coast Airlines,DH,2003/6,30
Atlantic Coast Airlines,DH,2003/6,4248
Atlantic Coast Airlines,DH,2003/6,322
Delta Air Lines Inc.,DL,2003/6,15676
Delta Air Lines Inc.,DL,2003/6,1460
Delta Air Lines Inc.,DL,2003/6,407
Delta Air Lines Inc.,DL,2003/6,180
Delta Air Lines Inc.,DL,2003/6,985
Delta Air Lines Inc.,DL,2003/6,476
Delta Air Lines Inc.,DL,2003/6,1787
Delta Air Lines Inc.,DL,2003/6,206
Delta Air Lines Inc.,DL,2003/6,606
Delta Air Lines Inc.,DL,2003/6,895
Delta Air Lines Inc.,DL,2003/6,412
Delta Air Lines Inc.,DL,2003/6,236
Delta Air Lines Inc.,DL,2003/6,835
Delta Air Lines Inc.,DL,2003/6,629
Delta Air Lines Inc.,DL,2003/6,1077
Delta Air Lines Inc.,DL,2003/6,1937
Delta Air Lines Inc.,DL,2003/6,1312
Delta Air Lines Inc.,DL,2003/6,119
Delta Air Lines Inc.,DL,2003/6,300
Delta Air Lines Inc.,DL,2003/6,317
Delta Air Lines Inc.,DL,2003/6,490
Delta Air Lines Inc.,DL,2003/6,360
Delta Air Lines Inc.,DL,2003/6,430
Delta Air Lines Inc.,DL,2003/6,266
Delta Air Lines Inc.,DL,2003/6,446
Delta Air Lines Inc.,DL,2003/6,480
Delta Air Lines Inc.,DL,2003/6,505
Delta Air Lines Inc.,DL,2003/6,3466
Delta Air Lines Inc.,DL,2003/6,919
Atlantic Southeast Airlines,EV,2003/6,7139
Atlantic Southeast Airlines,EV,2003/6,30
Atlantic Southeast Airlines,EV,2003/6,30
Atlantic Southeast Airlines,EV,2003/6,120
Atlantic Southeast Airlines,EV,2003/6,119
Atlantic Southeast Airlines,EV,2003/6,3944
Atlantic Southeast Airlines,EV,2003/6,151
Atlantic Southeast Airlines,EV,2003/6,150
Atlantic Southeast Airlines,EV,2003/6,141
Atlantic Southeast Airlines,EV,2003/6,60
AirTran Airways Corporation,FL,2003/6,4711
AirTran Airways Corporation,FL,2003/6,390
AirTran Airways Corporation,FL,2003/6,783
AirTran Airways Corporation,FL,2003/6,60
AirTran Airways Corporation,FL,2003/6,177
AirTran Airways Corporation,FL,2003/6,120
AirTran Airways Corporation,FL,2003/6,360
AirTran Airways Corporation,FL,2003/6,180
AirTran Airways Corporation,FL,2003/6,354
AirTran Airways Corporation,FL,2003/6,694
AirTran Airways Corporation,FL,2003/6,240
AirTran Airways Corporation,FL,2003/6,151
AirTran Airways Corporation,FL,2003/6,120
AirTran Airways Corporation,FL,2003/6,387
AirTran Airways Corporation,FL,2003/6,480
America West Airlines Inc.,HP,2003/6,150
America West Airlines Inc.,HP,2003/6,150
America West Airlines Inc.,HP,2003/6,150
America West Airlines Inc.,HP,2003/6,90
America West Airlines Inc.,HP,2003/6,266
America West Airlines Inc.,HP,2003/6,261
America West Airlines Inc.,HP,2003/6,150
America West Airlines Inc.,HP,2003/6,180
America West Airlines Inc.,HP,2003/6,64
America West Airlines Inc.,HP,2003/6,73
America West Airlines Inc.,HP,2003/6,150
America West Airlines Inc.,HP,2003/6,210
America West Airlines Inc.,HP,2003/6,2397
America West Airlines Inc.,HP,2003/6,510
America West Airlines Inc.,HP,2003/6,90
America West Airlines Inc.,HP,2003/6,90
America West Airlines Inc.,HP,2003/6,180
America West Airlines Inc.,HP,2003/6,236
America West Airlines Inc.,HP,2003/6,180
America West Airlines Inc.,HP,2003/6,180
America West Airlines Inc.,HP,2003/6,5801
America West Airlines Inc.,HP,2003/6,360
America West Airlines Inc.,HP,2003/6,240
America West Airlines Inc.,HP,2003/6,386
America West Airlines Inc.,HP,2003/6,146
America West Airlines Inc.,HP,2003/6,60
American Eagle Airlines Inc.,MQ,2003/6,1917
American Eagle Airlines Inc.,MQ,2003/6,213
American Eagle Airlines Inc.,MQ,2003/6,87
American Eagle Airlines Inc.,MQ,2003/6,781
American Eagle Airlines Inc.,MQ,2003/6,5739
American Eagle Airlines Inc.,MQ,2003/6,136
American Eagle Airlines Inc.,MQ,2003/6,291
American Eagle Airlines Inc.,MQ,2003/6,140
American Eagle Airlines Inc.,MQ,2003/6,78
American Eagle Airlines Inc.,MQ,2003/6,428
American Eagle Airlines Inc.,MQ,2003/6,1850
American Eagle Airlines Inc.,MQ,2003/6,1297
American Eagle Airlines Inc.,MQ,2003/6,5625
American Eagle Airlines Inc.,MQ,2003/6,295
American Eagle Airlines Inc.,MQ,2003/6,802
American Eagle Airlines Inc.,MQ,2003/6,141
Northwest Airlines Inc.,NW,2003/6,392
Northwest Airlines Inc.,NW,2003/6,471
Northwest Airlines Inc.,NW,2003/6,376
Northwest Airlines Inc.,NW,2003/6,210
Northwest Airlines Inc.,NW,2003/6,557
Northwest Airlines Inc.,NW,2003/6,374
Northwest Airlines Inc.,NW,2003/6,445
Northwest Airlines Inc.,NW,2003/6,9229
Northwest Airlines Inc.,NW,2003/6,502
Northwest Airlines Inc.,NW,2003/6,126
Northwest Airlines Inc.,NW,2003/6,236
Northwest Airlines Inc.,NW,2003/6,384
Northwest Airlines Inc.,NW,2003/6,90
Northwest Airlines Inc.,NW,2003/6,278
Northwest Airlines Inc.,NW,2003/6,495
Northwest Airlines Inc.,NW,2003/6,586
Northwest Airlines Inc.,NW,2003/6,390
Northwest Airlines Inc.,NW,2003/6,352
Northwest Airlines Inc.,NW,2003/6,169
Northwest Airlines Inc.,NW,2003/6,9607
Northwest Airlines Inc.,NW,2003/6,683
Northwest Airlines Inc.,NW,2003/6,200
Northwest Airlines Inc.,NW,2003/6,489
Northwest Airlines Inc.,NW,2003/6,325
Northwest Airlines Inc.,NW,2003/6,210
Northwest Airlines Inc.,NW,2003/6,403
Northwest Airlines Inc.,NW,2003/6,295
Northwest Airlines Inc.,NW,2003/6,115
Northwest Airlines Inc.,NW,2003/6,269
SkyWest Airlines Inc.,OO,2003/6,1657
SkyWest Airlines Inc.,OO,2003/6,1645
SkyWest Airlines Inc.,OO,2003/6,33
SkyWest Airlines Inc.,OO,2003/6,180
SkyWest Airlines Inc.,OO,2003/6,3940
SkyWest Airlines Inc.,OO,2003/6,30
SkyWest Airlines Inc.,OO,2003/6,562
SkyWest Airlines Inc.,OO,2003/6,507
SkyWest Airlines Inc.,OO,2003/6,625
SkyWest Airlines Inc.,OO,2003/6,365
SkyWest Airlines Inc.,OO,2003/6,2703
SkyWest Airlines Inc.,OO,2003/6,4960
ExpressJet Airlines Inc.,RU,2003/6,153
ExpressJet Airlines Inc.,RU,2003/6,23
ExpressJet Airlines Inc.,RU,2003/6,125
ExpressJet Airlines Inc.,RU,2003/6,367
ExpressJet Airlines Inc.,RU,2003/6,257
ExpressJet Airlines Inc.,RU,2003/6,157
ExpressJet Airlines Inc.,RU,2003/6,171
ExpressJet Airlines Inc.,RU,2003/6,4055
ExpressJet Airlines Inc.,RU,2003/6,265
ExpressJet Airlines Inc.,RU,2003/6,6049
ExpressJet Airlines Inc.,RU,2003/6,50
ExpressJet Airlines Inc.,RU,2003/6,143
ExpressJet Airlines Inc.,RU,2003/6,127
ExpressJet Airlines Inc.,RU,2003/6,35
ExpressJet Airlines Inc.,RU,2003/6,105
ExpressJet Airlines Inc.,RU,2003/6,195
ExpressJet Airlines Inc.,RU,2003/6,105
ExpressJet Airlines Inc.,RU,2003/6,30
ExpressJet Airlines Inc.,RU,2003/6,16
ATA Airlines d/b/a ATA,TZ,2003/6,81
ATA Airlines d/b/a ATA,TZ,2003/6,112
ATA Airlines d/b/a ATA,TZ,2003/6,76
ATA Airlines d/b/a ATA,TZ,2003/6,114
ATA Airlines d/b/a ATA,TZ,2003/6,118
ATA Airlines d/b/a ATA,TZ,2003/6,85
ATA Airlines d/b/a ATA,TZ,2003/6,91
ATA Airlines d/b/a ATA,TZ,2003/6,168
ATA Airlines d/b/a ATA,TZ,2003/6,291
ATA Airlines d/b/a ATA,TZ,2003/6,300
ATA Airlines d/b/a ATA,TZ,2003/6,240
ATA Airlines d/b/a ATA,TZ,2003/6,2139
ATA Airlines d/b/a ATA,TZ,2003/6,60
ATA Airlines d/b/a ATA,TZ,2003/6,141
ATA Airlines d/b/a ATA,TZ,2003/6,81
ATA Airlines d/b/a ATA,TZ,2003/6,130
ATA Airlines d/b/a ATA,TZ,2003/6,86
ATA Airlines d/b/a ATA,TZ,2003/6,255
United Air Lines Inc.,UA,2003/6,365
United Air Lines Inc.,UA,2003/6,838
United Air Lines Inc.,UA,2003/6,472
United Air Lines Inc.,UA,2003/6,210
United Air Lines Inc.,UA,2003/6,392
United Air Lines Inc.,UA,2003/6,6982
United Air Lines Inc.,UA,2003/6,473
United Air Lines Inc.,UA,2003/6,308
United Air Lines Inc.,UA,2003/6,614
United Air Lines Inc.,UA,2003/6,79
United Air Lines Inc.,UA,2003/6,1801
United Air Lines Inc.,UA,2003/6,330
United Air Lines Inc.,UA,2003/6,356
United Air Lines Inc.,UA,2003/6,959
United Air Lines Inc.,UA,2003/6,2991
United Air Lines Inc.,UA,2003/6,616
United Air Lines Inc.,UA,2003/6,489
United Air Lines Inc.,UA,2003/6,340
United Air Lines Inc.,UA,2003/6,568
United Air Lines Inc.,UA,2003/6,9970
United Air Lines Inc.,UA,2003/6,791
United Air Lines Inc.,UA,2003/6,642
United Air Lines Inc.,UA,2003/6,483
United Air Lines Inc.,UA,2003/6,658
United Air Lines Inc.,UA,2003/6,1082
United Air Lines Inc.,UA,2003/6,3834
United Air Lines Inc.,UA,2003/6,288
United Air Lines Inc.,UA,2003/6,240
US Airways Inc.,US,2003/6,256
US Airways Inc.,US,2003/6,1520
US Airways Inc.,US,2003/6,416
US Airways Inc.,US,2003/6,6998
US Airways Inc.,US,2003/6,1911
US Airways Inc.,US,2003/6,319
US Airways Inc.,US,2003/6,279
US Airways Inc.,US,2003/6,108
US Airways Inc.,US,2003/6,316
US Airways Inc.,US,2003/6,566
US Airways Inc.,US,2003/6,130
US Airways Inc.,US,2003/6,272
US Airways Inc.,US,2003/6,327
US Airways Inc.,US,2003/6,330
US Airways Inc.,US,2003/6,1313
US Airways Inc.,US,2003/6,775
US Airways Inc.,US,2003/6,307
US Airways Inc.,US,2003/6,192
US Airways Inc.,US,2003/6,508
US Airways Inc.,US,2003/6,5196
US Airways Inc.,US,2003/6,236
US Airways Inc.,US,2003/6,192
US Airways Inc.,US,2003/6,215
US Airways Inc.,US,2003/6,277
US Airways Inc.,US,2003/6,675
Southwest Airlines Co.,WN,2003/6,4481
Southwest Airlines Co.,WN,2003/6,465
Southwest Airlines Co.,WN,2003/6,1061
Southwest Airlines Co.,WN,2003/6,159
Southwest Airlines Co.,WN,2003/6,5021
Southwest Airlines Co.,WN,2003/6,3252
Southwest Airlines Co.,WN,2003/6,1923
Southwest Airlines Co.,WN,2003/6,3767
Southwest Airlines Co.,WN,2003/6,1013
Southwest Airlines Co.,WN,2003/6,5177
Southwest Airlines Co.,WN,2003/6,2307
Southwest Airlines Co.,WN,2003/6,1138
Southwest Airlines Co.,WN,2003/6,1123
Southwest Airlines Co.,WN,2003/6,1690
American Airlines Inc.,AA,2003/7,774
American Airlines Inc.,AA,2003/7,1316
American Airlines Inc.,AA,2003/7,622
American Airlines Inc.,AA,2003/7,242
American Airlines Inc.,AA,2003/7,989
American Airlines Inc.,AA,2003/7,787
American Airlines Inc.,AA,2003/7,12861
American Airlines Inc.,AA,2003/7,595
American Airlines Inc.,AA,2003/7,904
American Airlines Inc.,AA,2003/7,739
American Airlines Inc.,AA,2003/7,465
American Airlines Inc.,AA,2003/7,393
American Airlines Inc.,AA,2003/7,1233
American Airlines Inc.,AA,2003/7,757
American Airlines Inc.,AA,2003/7,2587
American Airlines Inc.,AA,2003/7,2011
American Airlines Inc.,AA,2003/7,1082
American Airlines Inc.,AA,2003/7,218
American Airlines Inc.,AA,2003/7,3301
American Airlines Inc.,AA,2003/7,696
American Airlines Inc.,AA,2003/7,7910
American Airlines Inc.,AA,2003/7,268
American Airlines Inc.,AA,2003/7,785
American Airlines Inc.,AA,2003/7,476
American Airlines Inc.,AA,2003/7,636
American Airlines Inc.,AA,2003/7,661
American Airlines Inc.,AA,2003/7,1070
American Airlines Inc.,AA,2003/7,273
American Airlines Inc.,AA,2003/7,547
Alaska Airlines Inc.,AS,2003/7,62
Alaska Airlines Inc.,AS,2003/7,31
Alaska Airlines Inc.,AS,2003/7,186
Alaska Airlines Inc.,AS,2003/7,62
Alaska Airlines Inc.,AS,2003/7,62
Alaska Airlines Inc.,AS,2003/7,368
Alaska Airlines Inc.,AS,2003/7,763
Alaska Airlines Inc.,AS,2003/7,31
Alaska Airlines Inc.,AS,2003/7,31
Alaska Airlines Inc.,AS,2003/7,31
Alaska Airlines Inc.,AS,2003/7,1367
Alaska Airlines Inc.,AS,2003/7,248
Alaska Airlines Inc.,AS,2003/7,395
Alaska Airlines Inc.,AS,2003/7,4581
Alaska Airlines Inc.,AS,2003/7,391
JetBlue Airways,B6,2003/7,93
JetBlue Airways,B6,2003/7,31
JetBlue Airways,B6,2003/7,403
JetBlue Airways,B6,2003/7,217
JetBlue Airways,B6,2003/7,2304
JetBlue Airways,B6,2003/7,185
JetBlue Airways,B6,2003/7,248
JetBlue Airways,B6,2003/7,49
JetBlue Airways,B6,2003/7,31
JetBlue Airways,B6,2003/7,62
JetBlue Airways,B6,2003/7,155
Continental Air Lines Inc.,CO,2003/7,387
Continental Air Lines Inc.,CO,2003/7,584
Continental Air Lines Inc.,CO,2003/7,275
Continental Air Lines Inc.,CO,2003/7,48
Continental Air Lines Inc.,CO,2003/7,333
Continental Air Lines Inc.,CO,2003/7,394
Continental Air Lines Inc.,CO,2003/7,327
Continental Air Lines Inc.,CO,2003/7,262
Continental Air Lines Inc.,CO,2003/7,4759
Continental Air Lines Inc.,CO,2003/7,369
Continental Air Lines Inc.,CO,2003/7,60
Continental Air Lines Inc.,CO,2003/7,7665
Continental Air Lines Inc.,CO,2003/7,31
Continental Air Lines Inc.,CO,2003/7,518
Continental Air Lines Inc.,CO,2003/7,577
Continental Air Lines Inc.,CO,2003/7,311
Continental Air Lines Inc.,CO,2003/7,496
Continental Air Lines Inc.,CO,2003/7,80
Continental Air Lines Inc.,CO,2003/7,302
Continental Air Lines Inc.,CO,2003/7,267
Continental Air Lines Inc.,CO,2003/7,452
Continental Air Lines Inc.,CO,2003/7,120
Continental Air Lines Inc.,CO,2003/7,187
Continental Air Lines Inc.,CO,2003/7,345
Continental Air Lines Inc.,CO,2003/7,273
Continental Air Lines Inc.,CO,2003/7,396
Continental Air Lines Inc.,CO,2003/7,403
Continental Air Lines Inc.,CO,2003/7,124
Continental Air Lines Inc.,CO,2003/7,378
Atlantic Coast Airlines,DH,2003/7,909
Atlantic Coast Airlines,DH,2003/7,275
Atlantic Coast Airlines,DH,2003/7,31
Atlantic Coast Airlines,DH,2003/7,155
Atlantic Coast Airlines,DH,2003/7,242
