Origin,Destination
ATL,861
DEN,684
ORD,642
DFW,516
IAH,408
LAX,348
BWI,315
LAS,312
MSP,309
CLT,288
IAD,288
BOS,285
PHX,270
SLC,264
MCO,258
EWR,255
DTW,252
MEM,249
FLL,231
JFK,228
CLE,225
AUS,222
BNA,222
SFO,216
MIA,180
MKE,177
DCA,177
MDW,177
SEA,171
MCI,147
CVG,144
ABQ,141
PHL,141
LGA,135
BDL,135
IND,129
HOU,126
SAN,117
PDX,114
BUF,111
CMH,108
BHM,105
PIT,93
STL,87
BOI,81
ALB,81
ELP,72
DAL,72
SAT,69
OAK,69
OMA,69
BUR,69
SMF,66
JAX,66
OGG,63
SJC,63
TPA,63
HNL,63
OKC,60
RNO,60
LIT,57
MSY,57
GRR,54
RDU,54
SJU,51
LGB,48
DSM,48
CHS,48
COS,45
ONT,45
ANC,45
GEG,45
SNA,45
SDF,42
RSW,42
KOA,42
GSO,42
FAT,42
CAK,39
ORF,39
EGE,39
TUL,39
LEX,39
MHT,36
HSV,36
ROC,36
MSN,36
PSP,33
GJT,33
GSP,33
HPN,30
DAY,30
ISP,30
AMA,30
STT,30
TUS,30
TYS,30
JAN,30
ICT,27
SYR,27
BTV,27
ABE,27
CRW,27
SAV,27
PBI,24
BZN,24
XNA,24
PVD,24
RIC,24
FAI,24
JNU,24
BIS,24
ASE,24
AVL,24
GRB,24
BFL,24
CAE,18
ECP,18
FAR,18
FNT,18
BMI,18
CHA,18
MTJ,18
SGF,18
JAC,15
FSD,15
BIL,15
FWA,15
MLI,15
DRO,15
LIH,15
SBP,12
RDM,12
VPS,12
MFE,12
PNS,12
SHV,12
PSC,12
SBA,12
RKS,12
MRY,12
MSO,12
MYR,12
IPL,12
ATW,12
AEX,12
BRO,12
GCC,12
HDN,12
HLN,12
HRL,12
EVV,12
ITO,12
KTN,12
DAB,12
BQN,12
GPT,12
CEC,12
LBB,12
LCH,12
LNK,12
FAY,12
CID,12
LSE,12
LAN,9
AVP,9
RAP,9
BPT,6
SIT,6
MDT,6
SGU,6
BRW,6
BTM,6
BTR,6
CDV,6
SCC,6
SBN,6
CIC,6
BKG,6
STX,6
AZO,6
SRQ,6
ABY,6
WRG,6
ACT,6
ACV,6
TXK,6
TVC,6
ACY,6
ADK,6
TRI,6
ADQ,6
TOL,6
TLH,6
SUN,6
CLL,6
AGS,6
CLD,6
CWA,6
CMI,6
IDA,6
FLG,6
GGG,6
OME,6
GNV,6
GRK,6
GTF,6
GUM,6
MQT,6
RST,6
MOD,6
MOB,6
MLU,6
MLB,6
MKG,6
MHK,6
MFR,6
OTZ,6
PAH,6
FCA,6
EYW,6
ROW,6
CMX,6
ROA,6
COD,6
CPR,6
CRP,6
MBS,6
DLH,6
EAU,6
PSG,6
PSE,6
EKO,6
ELM,6
EUG,6
PIA,6
YAK,6
